Time D1Force D1M1Lambda D2M2Lambda D1Lambda Mode1 D2Force D2M1Lambda D2M2Lambda D2Lambda Mode2

0 0 1 1 1 0 0 1 1 1 0
0.001 0.000286732 0.999978 1.00002 1 0 0 1 1 1 0
1.001 0.340974 0.980215 1.01979 1 0 0.00683429 0.999483 1.00052 1 0
2.001 0.742191 0.965372 1.03463 1 0 0.0778953 0.994491 1.00551 1 0
3.001 1.1596 0.954348 1.04565 1 0 0.287275 0.982726 1.01727 1 0
4.001 1.57706 0.945811 1.05419 1 0 0.687852 0.967074 1.03293 1 0
5.001 1.98935 0.938921 1.06108 1 0 1.31005 0.951046 1.04895 1 0
6.001 2.39484 0.933178 1.06682 1 0 2.16554 0.936318 1.06368 1 0
7.001 2.79318 0.928272 1.07173 1 0 3.24796 0.92335 1.07665 1 0
8.001 3.18443 0.924001 1.076 1 0 4.53144 0.912144 1.08786 1 0
9.001 3.56884 0.920224 1.07978 1 0 5.97249 0.902561 1.09744 1 0
10.001 3.94671 0.916845 1.08315 1 0 7.5155 0.894425 1.10558 1 0
11.001 4.31833 0.913791 1.08621 1 0 9.10014 0.88756 1.11244 1 0
12.001 4.68399 0.911008 1.08899 1 0 10.6686 0.881802 1.1182 1 0
13.001 5.04395 0.908453 1.09155 1 0 12.1711 0.876999 1.123 1 0
14.001 5.39844 0.906095 1.09391 1 0 13.5665 0.873023 1.12698 1 0
15.001 5.74768 0.903906 1.09609 1 0 14.816 0.869785 1.13021 1 0
16.001 6.09187 0.901865 1.09813 1 0 15.8583 0.86728 1.13272 1 0
17.001 6.43119 0.899955 1.10004 1 0 16.746 0.865269 1.13473 1 0
18.001 6.76579 0.898161 1.10184 1 0 17.4914 0.863659 1.13634 1 0
19.001 7.09583 0.896471 1.10353 1 0 18.1085 0.862376 1.13762 1 0
20.001 7.42144 0.894874 1.10513 1 0 18.612 0.86136 1.13864 1 0
21.001 7.74274 0.893361 1.10664 1 0 19.0162 0.860563 1.13944 1 0
22.001 8.05985 0.891924 1.10808 1 0 19.3344 0.859948 1.14005 1 0
23.001 8.37288 0.890558 1.10944 1 0 19.5784 0.859483 1.14052 1 0
24.001 8.68191 0.889255 1.11075 1 0 19.7591 0.859142 1.14086 1 0
25.001 8.98705 0.888011 1.11199 1 0 19.8856 0.858905 1.14109 1 0
26.001 9.28838 0.886821 1.11318 1 0 19.9661 0.858755 1.14124 1 0
27.001 9.58597 0.885681 1.11432 1 0 20.0075 0.858678 1.14132 1 0
28.001 9.87989 0.884588 1.11541 1 0 20.0159 0.858663 1.14134 1 0
29.001 10.1702 0.883539 1.11646 1 0 19.9962 0.858699 1.1413 1 0
30.001 10.457 0.882529 1.11747 1 0 19.9527 0.85878 1.14122 1 0
31.001 10.7404 0.881558 1.11844 1 0 19.9109 0.858959 1.14104 1 0
32.001 11.0203 0.880622 1.11938 1 0 20.0364 0.859749 1.14025 1 0
33.001 11.2968 0.879719 1.12028 1 0 20.4789 0.861836 1.13816 1 0
34.001 11.5701 0.878848 1.12115 1 0 21.2572 0.865657 1.13434 1 0
35.001 11.8401 0.878006 1.12199 1 0 22.2735 0.871463 1.12854 1 0
36.001 12.1069 0.877192 1.12281 1 0 23.2932 0.879623 1.12038 1 0
37.001 12.3705 0.876405 1.1236 1 0 24.3866 0.889888 1.11011 1 0
38.001 12.631 0.875642 1.12436 1 0 25.5269 0.902128 1.09787 1 0
39.001 12.8884 0.874904 1.1251 1 0 26.693 0.916124 1.08388 1 0
40.001 13.1427 0.874188 1.12581 1 0 27.8639 0.931556 1.06844 1 0
41.001 13.394 0.873493 1.12651 1 0 29.0196 0.948026 1.05197 1 0
42.001 13.6423 0.872819 1.12718 1 0 30.0003 0.964613 1.03461 0.999611 1
43.001 13.8877 0.872164 1.12784 1 0 30.0003 0.977564 1.0145 0.99603 1
44.001 14.1302 0.871528 1.12847 1 0 30.0003 0.989346 0.993655 0.9915 1
45.001 14.3697 0.87091 1.12909 1 0 30.0003 0.99989 0.972557 0.986223 1
46.001 14.6064 0.870309 1.12969 1 0 30.0003 1.00915 0.951639 0.980396 1
47.001 14.8403 0.869725 1.13028 1 0 30.0003 1.01713 0.931283 0.974205 1
48.001 15.0714 0.869156 1.13084 1 0 30.0003 1.02382 0.911817 0.96782 1
49.001 15.2997 0.868602 1.1314 1 0 30.0003 1.02927 0.893515 0.961395 1
50.001 15.5253 0.868064 1.13194 1 0 30.0003 1.03343 0.876598 0.955015 1
51.001 15.8447 0.869121 1.13088 1 0 30.0003 1.03627 0.86234 0.949307 1
52.001 16.1642 0.870188 1.12981 1 0 30.0003 1.03787 0.851017 0.944442 1
53.001 16.4837 0.871264 1.12874 1 0 30.0003 1.03831 0.841906 0.940108 1
54.001 16.8032 0.87235 1.12765 1 0 30.0003 1.03771 0.835068 0.936389 1
55.001 17.1228 0.873446 1.12655 1 0 30.0003 1.03619 0.83067 0.933428 1
56.001 17.4424 0.874551 1.12545 1 0 30.0003 1.03386 0.82852 0.93119 1
57.001 17.762 0.875665 1.12434 1 0 30.0003 1.03086 0.82835 0.929605 1
58.001 18.0815 0.876788 1.12321 1 0 30.0003 1.02731 0.829877 0.928591 1
59.001 18.4011 0.877921 1.12208 1 0 30.0003 1.02332 0.832827 0.928074 1
60.001 18.7206 0.879063 1.12094 1 0 29.992 1.01901 0.836939 0.927974 2
61.001 19.04 0.880214 1.11979 1 0 29.8749 1.01423 0.841713 0.927974 2
62.001 19.3594 0.881373 1.11863 1 0 29.6695 1.00903 0.846914 0.927974 2
63.001 19.6787 0.882541 1.11746 1 0 29.4156 1.00352 0.852428 0.927974 2
64.001 19.9978 0.883716 1.11628 1 0 29.1346 0.997798 0.85815 0.927974 2
65.001 20.3167 0.8849 1.1151 1 0 28.8374 0.991965 0.863982 0.927974 2
66.001 20.6354 0.886092 1.11391 1 0 28.5294 0.986113 0.869835 0.927974 2
67.001 20.9539 0.887291 1.11271 1 0 28.0256 0.979839 0.876108 0.927974 2
68.001 21.2722 0.888497 1.1115 1 0 27.5308 0.973525 0.882422 0.927974 2
69.001 21.5901 0.88971 1.11029 1 0 27.0512 0.967274 0.888673 0.927974 2
70.001 21.9076 0.89093 1.10907 1 0 26.586 0.961173 0.894774 0.927974 2
71.001 22.2248 0.892155 1.10784 1 0 26.1344 0.955302 0.900645 0.927974 2
72.001 22.5415 0.893387 1.10661 1 0 25.6954 0.949734 0.906213 0.927974 2
73.001 22.8576 0.894623 1.10538 1 0 25.2679 0.944534 0.911413 0.927974 2
74.001 23.1733 0.895865 1.10414 1 0 24.851 0.939759 0.916189 0.927974 2
75.001 23.4882 0.897111 1.10289 1 0 24.4437 0.935457 0.920491 0.927974 2
76.001 23.8026 0.898361 1.10164 1 0 24.0451 0.931667 0.924281 0.927974 2
77.001 24.1161 0.899615 1.10039 1 0 23.6544 0.92842 0.927528 0.927974 2
78.001 24.4289 0.900872 1.09913 1 0 23.2708 0.925739 0.930209 0.927974 2
79.001 24.7407 0.902131 1.09787 1 0 22.8904 0.923652 0.932296 0.927974 2
80.001 25.0517 0.903393 1.09661 1 0 22.5166 0.922188 0.93376 0.927974 2
81.001 25.3616 0.904657 1.09534 1 0 22.15 0.921359 0.934589 0.927974 2
82.001 25.6704 0.905921 1.09408 1 0 21.7901 0.921163 0.934785 0.927974 2
83.001 25.978 0.907187 1.09281 1 0 21.4365 0.921587 0.93436 0.927974 2
84.001 26.2844 0.908453 1.09155 1 0 21.089 0.922609 0.933338 0.927974 2
85.001 26.5895 0.909718 1.09028 1 0 20.7474 0.924198 0.93175 0.927974 2
86.001 26.8932 0.910983 1.08902 1 0 20.4117 0.926311 0.929636 0.927974 2
87.001 27.1954 0.912246 1.08775 1 0 20.0819 0.928903 0.927044 0.927974 2
88.001 27.496 0.913508 1.08649 1 0 19.7579 0.931919 0.924029 0.927974 2
89.001 27.795 0.914768 1.08523 1 0 19.4397 0.935299 0.920649 0.927974 2
90.001 28.0923 0.916025 1.08397 1 0 19.1275 0.93898 0.916968 0.927974 2
91.001 28.3877 0.917279 1.08272 1 0 18.8213 0.942897 0.913051 0.927974 2
92.001 28.6813 0.91853 1.08147 1 0 18.521 0.946982 0.908966 0.927974 2
93.001 28.973 0.919776 1.08022 1 0 18.2268 0.951168 0.90478 0.927974 2
94.001 29.2626 0.921019 1.07898 1 0 17.9387 0.955388 0.900559 0.927974 2
95.001 29.55 0.922256 1.07774 1 0 17.6567 0.959579 0.896369 0.927974 2
96.001 29.8353 0.923489 1.07651 1 0 17.3805 0.963677 0.89227 0.927974 2
97.001 30 0.923482 1.0745 0.99899 1 17.1102 0.967628 0.88832 0.927974 2
98.001 30 0.921797 1.07134 0.996568 1 16.8455 0.971376 0.884571 0.927974 2
99.001 30 0.920159 1.0681 0.994127 1 16.5862 0.974877 0.881071 0.927974 2
100.001 30 0.918569 1.06477 0.991668 1 16.3318 0.978088 0.87786 0.927974 2
101.001 30 0.917024 1.06136 0.989191 1 16.0819 0.980974 0.874973 0.927974 2
102.001 30 0.915524 1.05787 0.986698 1 15.8361 0.983509 0.872439 0.927974 2
103.001 30 0.914068 1.05432 0.984192 1 15.594 0.985669 0.870279 0.927974 2
104.001 30 0.912655 1.0507 0.981675 1 15.332 0.98734 0.868608 0.927974 2
105.001 30 0.911283 1.04702 0.979151 1 15.0755 0.988567 0.867381 0.927974 2
106.001 30 0.909953 1.04329 0.976623 1 14.8286 0.989366 0.866581 0.927974 2
107.001 30 0.908663 1.03953 0.974096 1 14.5909 0.989752 0.866196 0.927974 2
108.001 30 0.907413 1.03573 0.971574 1 14.3617 0.989745 0.866203 0.927974 2
109.001 30 0.906201 1.03192 0.969061 1 14.1402 0.989372 0.866576 0.927974 2
110.001 30 0.905027 1.0281 0.966564 1 13.9257 0.988663 0.867284 0.927974 2
111.001 30 0.903891 1.02428 0.964085 1 13.7174 0.987654 0.868294 0.927974 2
112.001 30 0.902791 1.02047 0.96163 1 13.5145 0.986379 0.869568 0.927974 2
113.001 30 0.901727 1.01668 0.959203 1 13.3 0.984801 0.871147 0.927974 2
114.001 30 0.900698 1.01292 0.956808 1 13.0809 0.982946 0.873001 0.927974 2
115.001 30 0.899704 1.00919 0.954448 1 12.8638 0.980878 0.87507 0.927974 2
116.001 30 0.898744 1.00551 0.952127 1 12.6487 0.978635 0.877312 0.927974 2
117.001 30 0.897817 1.00188 0.949847 1 12.4358 0.976258 0.87969 0.927974 2
118.001 30 0.896924 0.9983 0.947612 1 12.2251 0.973787 0.88216 0.927974 2
119.001 30 0.896062 0.994781 0.945422 1 12.0166 0.971263 0.884684 0.927974 2
120.001 30 0.895233 0.991325 0.943279 1 11.8103 0.968725 0.887222 0.927974 2
121.001 30 0.894435 0.987935 0.941185 1 11.6063 0.966212 0.889736 0.927974 2
122.001 30 0.893668 0.984614 0.939141 1 11.4045 0.96376 0.892188 0.927974 2
123.001 30 0.892932 0.981361 0.937147 1 11.2049 0.961403 0.894545 0.927974 2
124.001 30 0.892226 0.97818 0.935203 1 11.0075 0.959173 0.896775 0.927974 2
125.001 30 0.89155 0.97507 0.93331 1 10.8122 0.957099 0.898849 0.927974 2
126.001 30 0.890903 0.972033 0.931468 1 10.6191 0.955206 0.900741 0.927974 2
127.001 30 0.890285 0.969067 0.929676 1 10.4282 0.953517 0.90243 0.927974 2
128.001 30 0.889696 0.966173 0.927934 1 10.2394 0.952051 0.903897 0.927974 2
129.001 30 0.889135 0.96335 0.926242 1 10.0528 0.950821 0.905127 0.927974 2
130.001 30 0.888602 0.960597 0.9246 1 9.86824 0.94984 0.906108 0.927974 2
131.001 30 0.888097 0.957914 0.923006 1 9.68588 0.949119 0.906828 0.927974 2
132.001 30 0.88762 0.9553 0.92146 1 9.50571 0.948667 0.907281 0.927974 2
133.001 30 0.887169 0.952753 0.919961 1 9.32775 0.948484 0.907464 0.927974 2
134.001 30 0.886746 0.950273 0.918509 1 9.15206 0.948568 0.907379 0.927974 2
135.001 30 0.886349 0.947857 0.917103 1 8.97869 0.948913 0.907035 0.927974 2
136.001 30 0.885979 0.945506 0.915743 1 8.80769 0.949508 0.90644 0.927974 2
137.001 30 0.885636 0.943217 0.914426 1 8.63912 0.950338 0.90561 0.927974 2
138.001 30 0.885318 0.940989 0.913153 1 8.47304 0.951386 0.904562 0.927974 2
139.001 30 0.885027 0.938821 0.911924 1 8.30951 0.95263 0.903318 0.927974 2
140.001 30 0.884761 0.936711 0.910736 1 8.14857 0.954047 0.9019 0.927974 2
141.001 30 0.884521 0.934659 0.90959 1 7.99028 0.955612 0.900336 0.927974 2
142.001 30 0.884307 0.932664 0.908485 1 7.83466 0.957296 0.898652 0.927974 2
143.001 30 0.884118 0.930722 0.90742 1 7.68174 0.95907 0.896877 0.927974 2
144.001 30 0.883955 0.928835 0.906395 1 7.53152 0.960907 0.895041 0.927974 2
145.001 30 0.883817 0.927 0.905408 1 7.384 0.962775 0.893172 0.927974 2
146.001 30 0.883704 0.925216 0.90446 1 7.23915 0.964647 0.891301 0.927974 2
147.001 30 0.883616 0.923482 0.903549 1 7.09693 0.966492 0.889455 0.927974 2
148.001 30 0.883553 0.921797 0.902675 1 6.95726 0.968286 0.887662 0.927974 2
149.001 30 0.883516 0.920159 0.901837 1 6.82007 0.970001 0.885946 0.927974 2
150.001 30 0.883503 0.918569 0.901036 1 6.68527 0.971616 0.884331 0.927974 2
151.001 30 0.883516 0.917024 0.90027 1 6.55275 0.97311 0.882838 0.927974 2
152.001 30 0.883553 0.915524 0.899539 1 6.42239 0.974464 0.881483 0.927974 2
153.001 30 0.883616 0.914068 0.898842 1 6.29408 0.975664 0.880283 0.927974 2
154.001 30 0.883704 0.912655 0.898179 1 6.1677 0.976698 0.87925 0.927974 2
155.001 30 0.883817 0.911283 0.89755 1 6.04315 0.977556 0.878391 0.927974 2
156.001 30 0.883955 0.909953 0.896954 1 5.92031 0.978232 0.877715 0.927974 2
157.001 30 0.884119 0.908663 0.896391 1 5.79911 0.978721 0.877227 0.927974 2
158.001 30 0.884307 0.907413 0.89586 1 5.67945 0.97902 0.876927 0.927974 2
159.001 30 0.884522 0.906201 0.895361 1 5.5613 0.979133 0.876815 0.927974 2
160.001 30 0.884762 0.905027 0.894895 1 5.44461 0.979064 0.876884 0.927974 2
161.001 30 0.885027 0.903891 0.894459 1 5.32936 0.97882 0.877127 0.927974 2
162.001 30 0.885319 0.902791 0.894055 1 5.21555 0.978413 0.877535 0.927974 2
163.001 30 0.885636 0.901727 0.893682 1 5.10318 0.977854 0.878094 0.927974 2
164.001 30 0.88598 0.900698 0.893339 1 4.99229 0.977157 0.87879 0.927974 2
165.001 30 0.88635 0.899704 0.893027 1 4.88289 0.976339 0.879609 0.927974 2
166.001 30 0.886747 0.898744 0.892745 1 4.77501 0.975415 0.880532 0.927974 2
167.001 30 0.88717 0.897817 0.892494 1 4.66869 0.974404 0.881543 0.927974 2
168.001 30 0.88762 0.896924 0.892272 1 4.56397 0.973325 0.882623 0.927974 2
169.001 30 0.888098 0.896062 0.89208 1 4.46086 0.972194 0.883753 0.927974 2
170.001 30 0.888603 0.895233 0.891918 1 4.3594 0.971032 0.884915 0.927974 2
171.001 30 0.889136 0.894435 0.891786 1 4.25961 0.969857 0.886091 0.927974 2
172.001 30 0.889697 0.893668 0.891683 1 4.1615 0.968685 0.887263 0.927974 2
173.001 30 0.890286 0.892932 0.891609 1 4.0651 0.967534 0.888413 0.927974 2
174.001 30 0.890904 0.892226 0.891565 1 3.97039 0.966421 0.889526 0.927974 2
175.001 30 0.891551 0.89155 0.891551 2 3.87739 0.96536 0.890588 0.927974 2
176.001 29.9985 0.892213 0.890888 0.891551 2 3.7861 0.964364 0.891583 0.927974 2
177.001 29.9938 0.892875 0.890226 0.891551 2 3.6965 0.963446 0.892501 0.927974 2
178.001 29.9861 0.893537 0.889564 0.891551 2 3.6086 0.962617 0.893331 0.927974 2
179.001 29.9752 0.894199 0.888902 0.891551 2 3.52238 0.961884 0.894064 0.927974 2
180.001 29.9613 0.894863 0.888238 0.891551 2 3.43782 0.961255 0.894693 0.927974 2
181.001 29.9443 0.895527 0.887574 0.891551 2 3.35493 0.960735 0.895212 0.927974 2
182.001 29.9242 0.896193 0.886908 0.891551 2 3.27368 0.960329 0.895619 0.927974 2
183.001 29.901 0.896859 0.886242 0.891551 2 3.19407 0.960038 0.895909 0.927974 2
184.001 29.8747 0.897527 0.885574 0.891551 2 3.11607 0.959864 0.896084 0.927974 2
185.001 29.8452 0.898197 0.884904 0.891551 2 3.03968 0.959803 0.896145 0.927974 2
186.001 29.8127 0.898869 0.884233 0.891551 2 2.96487 0.959853 0.896095 0.927974 2
187.001 29.7771 0.899542 0.883559 0.891551 2 2.89164 0.960008 0.895939 0.927974 2
188.001 29.7384 0.900218 0.882883 0.891551 2 2.81997 0.960262 0.895686 0.927974 2
189.001 29.6966 0.900896 0.882205 0.891551 2 2.74982 0.960605 0.895342 0.927974 2
190.001 29.6516 0.901577 0.881524 0.891551 2 2.68119 0.961029 0.894918 0.927974 2
191.001 29.6036 0.90226 0.880841 0.891551 2 2.61405 0.961523 0.894425 0.927974 2
192.001 29.5524 0.902946 0.880155 0.891551 2 2.54837 0.962074 0.893874 0.927974 2
193.001 29.4981 0.903636 0.879465 0.891551 2 2.48411 0.962671 0.893276 0.927974 2
194.001 29.4407 0.904329 0.878772 0.891551 2 2.42126 0.963302 0.892645 0.927974 2
195.001 29.3802 0.905026 0.878075 0.891551 2 2.35977 0.963954 0.891994 0.927974 2
196.001 29.3166 0.905726 0.877375 0.891551 2 2.2996 0.964614 0.891334 0.927974 2
197.001 29.2498 0.90643 0.876671 0.891551 2 2.24071 0.96527 0.890677 0.927974 2
198.001 29.1799 0.907139 0.875962 0.891551 2 2.18306 0.965911 0.890037 0.927974 2
199.001 29.1068 0.907852 0.875249 0.891551 2 2.12659 0.966525 0.889422 0.927974 2
200.001 29.0306 0.90857 0.874531 0.891551 2 2.07128 0.967103 0.888844 0.927974 2
201.001 28.9513 0.909292 0.873809 0.891551 2 2.01706 0.967636 0.888311 0.927974 2
202.001 28.8688 0.91002 0.873081 0.891551 2 1.9639 0.968117 0.887831 0.927974 2
203.001 28.7832 0.910753 0.872348 0.891551 2 1.91175 0.968538 0.88741 0.927974 2
204.001 28.6943 0.911492 0.871609 0.891551 2 1.86058 0.968894 0.887053 0.927974 2
205.001 28.6024 0.912236 0.870865 0.891551 2 1.81034 0.969183 0.886765 0.927974 2
206.001 28.5072 0.912987 0.870114 0.891551 2 1.76101 0.969401 0.886547 0.927974 2
207.001 28.4089 0.913744 0.869357 0.891551 2 1.71255 0.969546 0.886402 0.927974 2
208.001 28.3074 0.914508 0.868593 0.891551 2 1.66494 0.969619 0.886329 0.927974 2
209.001 28.2027 0.915279 0.867822 0.891551 2 1.61816 0.969621 0.886327 0.927974 2
210.001 28.0948 0.916057 0.867044 0.891551 2 1.5722 0.969553 0.886394 0.927974 2
211.001 27.9837 0.916842 0.866259 0.891551 2 1.52704 0.96942 0.886527 0.927974 2
212.001 27.8694 0.917636 0.865465 0.891551 2 1.49307 0.969529 0.887045 0.928287 3
213.001 27.7519 0.918437 0.864664 0.891551 2 1.46787 0.970029 0.888146 0.929087 3
214.001 27.6312 0.919247 0.863854 0.891551 2 1.43598 0.970448 0.889327 0.929887 3
215.001 27.5072 0.920066 0.863035 0.891551 2 1.40078 0.970795 0.89058 0.930687 3
216.001 27.3799 0.920893 0.862208 0.891551 2 1.36423 0.971077 0.891897 0.931487 3
217.001 27.2495 0.921731 0.86137 0.891551 2 1.32744 0.971305 0.89327 0.932287 3
218.001 27.1157 0.922578 0.860523 0.891551 2 1.29103 0.971485 0.89469 0.933087 3
219.001 26.9787 0.923435 0.859666 0.891551 2 1.25535 0.971628 0.896146 0.933887 3
220.001 26.8384 0.924303 0.858798 0.891551 2 1.22058 0.971743 0.897632 0.934687 3
221.001 26.6948 0.925181 0.85792 0.891551 2 1.18682 0.971838 0.899137 0.935487 3
222.001 26.548 0.926071 0.85703 0.891551 2 1.1541 0.971922 0.900652 0.936287 3
223.001 26.3978 0.926973 0.856128 0.891551 2 1.12242 0.972004 0.902171 0.937087 3
